filename,cell_type,xmin,xmax,ymin,ymax
0.jpg,RBC,5,90,249,354
0.jpg,RBC,210,323,8,118
0.jpg,RBC,158,256,283,394
0.jpg,RBC,83,166,399,480
0.jpg,RBC,534,635,13,116
0.jpg,RBC,409,499,85,173
0.jpg,RBC,247,360,225,325
0.jpg,RBC,268,381,293,393
0.jpg,RBC,84,192,179,293
0.jpg,RBC,155,263,157,271
0.jpg,RBC,150,256,1,111
0.jpg,RBC,333,433,361,431
0.jpg,RBC,1,90,112,200
0.jpg,WBC,383,625,205,434
1.jpg,RBC,68,165,154,249
1.jpg,RBC,1,66,145,260
1.jpg,RBC,207,334,160,270
1.jpg,RBC,435,540,347,437
1.jpg,RBC,535,639,356,464
1.jpg,RBC,446,550,221,329
1.jpg,RBC,509,640,94,207
1.jpg,RBC,456,560,3,111
1.jpg,RBC,354,458,144,252
1.jpg,RBC,169,277,317,455
1.jpg,RBC,64,166,302,406
1.jpg,RBC,74,176,200,304
1.jpg,RBC,141,217,18,109
1.jpg,RBC,316,409,47,141
1.jpg,RBC,356,465,1,56
1.jpg,RBC,35,128,65,159
1.jpg,RBC,66,181,371,463
1.jpg,WBC,247,462,352,480
2.jpg,RBC,323,433,70,173
2.jpg,RBC,441,572,119,219
2.jpg,RBC,119,231,164,265
2.jpg,RBC,1,89,263,361
2.jpg,RBC,451,563,297,398
2.jpg,RBC,308,420,327,428
2.jpg,RBC,65,165,315,414
2.jpg,RBC,490,590,1,99
2.jpg,RBC,284,384,161,260
2.jpg,WBC,93,296,1,173
3.jpg,WBC,243,388,128,291
3.jpg,Platelets,300,334,87,130
4.jpg,RBC,157,250,140,245
4.jpg,RBC,1,93,209,314
4.jpg,RBC,73,168,299,415
4.jpg,RBC,359,454,352,448
4.jpg,RBC,379,473,133,247
4.jpg,RBC,280,376,122,229
4.jpg,RBC,348,450,229,337
4.jpg,RBC,416,518,234,342
4.jpg,RBC,447,549,365,473
4.jpg,RBC,316,416,1,64
4.jpg,RBC,26,133,58,166
4.jpg,RBC,423,524,1,81
4.jpg,RBC,498,600,1,66
4.jpg,WBC,150,337,238,426
5.jpg,Platelets,83,140,298,340
5.jpg,Platelets,349,391,327,365
5.jpg,WBC,245,383,352,480
5.jpg,RBC,270,372,118,210
5.jpg,RBC,314,416,87,179
5.jpg,RBC,161,287,283,383
6.jpg,RBC,453,555,81,182
6.jpg,RBC,476,599,171,307
6.jpg,RBC,346,455,212,316
6.jpg,RBC,24,127,113,207
6.jpg,RBC,163,289,31,131
6.jpg,RBC,83,175,303,382
6.jpg,RBC,304,413,64,174
6.jpg,RBC,60,153,61,157
6.jpg,RBC,174,265,321,406
6.jpg,RBC,191,292,164,245
6.jpg,RBC,91,190,181,276
6.jpg,RBC,169,263,202,278
6.jpg,RBC,504,504,337,337
6.jpg,WBC,244,509,327,480
7.jpg,RBC,405,525,191,282
7.jpg,RBC,282,402,269,360
7.jpg,RBC,116,236,366,457
7.jpg,RBC,27,147,281,372
7.jpg,RBC,47,167,95,186
7.jpg,RBC,160,256,36,122
7.jpg,RBC,409,521,49,141
7.jpg,RBC,228,340,312,420
7.jpg,RBC,109,221,178,286
7.jpg,RBC,293,392,55,160
7.jpg,RBC,49,145,1,82
7.jpg,RBC,512,619,416,480
7.jpg,WBC,209,328,173,298
8.jpg,RBC,1,89,166,283
8.jpg,RBC,147,251,207,326
8.jpg,RBC,480,604,343,468
8.jpg,WBC,232,469,102,336
9.jpg,WBC,310,471,1,128
9.jpg,RBC,89,192,89,206
9.jpg,RBC,265,368,114,231
9.jpg,RBC,203,295,176,318
9.jpg,RBC,109,204,195,306
9.jpg,RBC,391,486,117,228
9.jpg,RBC,376,471,250,361
9.jpg,RBC,314,419,357,477
9.jpg,RBC,25,142,309,428
9.jpg,RBC,497,604,1,97
9.jpg,RBC,578,640,144,248
9.jpg,RBC,570,640,252,390
9.jpg,RBC,494,588,325,427
9.jpg,RBC,399,517,334,457
9.jpg,RBC,19,103,234,344
9.jpg,RBC,484,587,196,313
10.jpg,WBC,415,533,304,427
10.jpg,RBC,155,255,389,455
10.jpg,RBC,96,194,399,476
10.jpg,RBC,11,91,261,360
10.jpg,RBC,19,99,312,411
10.jpg,RBC,14,94,77,176
10.jpg,RBC,22,122,142,243
10.jpg,RBC,61,140,194,295
10.jpg,RBC,93,172,224,325
10.jpg,RBC,117,196,233,334
10.jpg,RBC,171,265,236,340
10.jpg,RBC,265,359,186,290
10.jpg,RBC,186,294,112,236
10.jpg,Platelets,140,174,117,156
10.jpg,Platelets,373,407,62,101
10.jpg,RBC,281,373,94,176
10.jpg,RBC,515,607,41,123
10.jpg,RBC,472,565,15,138
10.jpg,RBC,544,638,128,251
10.jpg,RBC,562,640,206,299
10.jpg,RBC,475,568,229,323
10.jpg,RBC,439,532,191,285
10.jpg,RBC,392,485,178,272
10.jpg,RBC,547,640,332,426
10.jpg,RBC,547,640,386,480
10.jpg,RBC,488,581,386,480
10.jpg,RBC,137,230,15,109
10.jpg,RBC,385,478,30,124
11.jpg,RBC,375,498,115,215
11.jpg,RBC,279,399,264,392
11.jpg,RBC,447,560,189,307
11.jpg,RBC,121,256,341,442
11.jpg,RBC,1,75,101,244
11.jpg,RBC,323,453,6,122
11.jpg,RBC,452,537,1,119
11.jpg,RBC,542,640,259,383
11.jpg,RBC,550,640,124,233
11.jpg,RBC,553,640,1,85
11.jpg,RBC,306,425,377,480
11.jpg,Platelets,506,536,156,187
11.jpg,Platelets,385,438,217,264
11.jpg,WBC,176,372,92,268
12.jpg,RBC,376,476,191,294
12.jpg,RBC,326,429,189,317
12.jpg,RBC,484,601,213,325
12.jpg,RBC,529,631,314,411
12.jpg,RBC,201,310,206,316
12.jpg,RBC,22,114,105,201
12.jpg,RBC,11,103,324,422
12.jpg,RBC,519,608,22,106
12.jpg,RBC,231,319,117,206
12.jpg,RBC,57,177,350,465
12.jpg,RBC,244,369,349,449
12.jpg,WBC,277,500,1,169
13.jpg,RBC,62,165,73,175
13.jpg,RBC,236,345,216,348
13.jpg,RBC,129,229,300,396
13.jpg,RBC,365,494,306,425
13.jpg,RBC,494,593,36,138
13.jpg,RBC,177,273,25,132
13.jpg,RBC,64,182,192,284
13.jpg,RBC,45,146,368,446
13.jpg,RBC,528,632,289,389
13.jpg,RBC,57,225,254,325
13.jpg,WBC,280,507,43,236
14.jpg,WBC,127,270,143,273
14.jpg,WBC,287,437,364,480
14.jpg,RBC,153,257,383,480
14.jpg,RBC,47,151,358,455
14.jpg,RBC,83,187,321,418
14.jpg,RBC,332,436,153,250
