image_name,left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y
0.jpg,66,39,30,36
1.jpg,64,34,29,33
2.jpg,65,34,30,34
3.jpg,65,37,32,37
4.jpg,66,39,32,38
5.jpg,69,39,29,37
6.jpg,64,34,29,33
7.jpg,67,39,29,39
8.jpg,65,34,27,36
9.jpg,64,36,29,38
10.jpg,65,34,28,33
11.jpg,66,39,30,38
12.jpg,66,37,30,37
13.jpg,65,34,33,32
14.jpg,66,38,28,36
15.jpg,68,35,27,37
16.jpg,66,33,30,36
17.jpg,66,35,32,36
18.jpg,67,38,28,36
19.jpg,69,40,25,38
20.jpg,65,36,31,39
21.jpg,64,34,31,37
22.jpg,66,37,27,37
23.jpg,64,35,31,39
24.jpg,66,33,29,34
25.jpg,64,36,32,38
26.jpg,65,35,30,38
27.jpg,65,38,32,39
28.jpg,65,38,29,39
29.jpg,72,34,28,32
30.jpg,64,35,30,35
31.jpg,64,35,29,35
32.jpg,69,37,28,35
33.jpg,67,35,30,33
34.jpg,65,35,30,34
35.jpg,66,36,26,37
36.jpg,64,34,30,32
37.jpg,66,35,30,37
38.jpg,67,32,27,32
39.jpg,64,34,32,37
40.jpg,69,37,28,36
41.jpg,65,38,30,40
42.jpg,67,39,28,36
43.jpg,66,38,29,37
44.jpg,65,38,30,38
45.jpg,67,35,29,36
46.jpg,65,38,31,39
47.jpg,66,40,31,38
48.jpg,65,37,30,37
49.jpg,65,39,33,39
50.jpg,64,36,31,37
51.jpg,65,35,31,36
52.jpg,63,37,32,38
53.jpg,67,39,28,37
54.jpg,64,36,29,37
55.jpg,66,35,29,36
56.jpg,66,37,31,37
57.jpg,68,38,30,37
58.jpg,67,37,31,38
59.jpg,66,38,32,38
60.jpg,65,40,29,38
61.jpg,65,36,29,36
62.jpg,65,36,29,36
63.jpg,65,34,26,34
64.jpg,67,37,28,36
65.jpg,66,36,34,38
66.jpg,70,36,27,36
67.jpg,68,35,27,34
68.jpg,64,37,31,34
69.jpg,65,36,28,37
70.jpg,63,36,28,36
71.jpg,67,35,30,33
72.jpg,68,34,28,36
73.jpg,70,31,28,33
74.jpg,66,37,28,37
75.jpg,65,38,30,37
76.jpg,66,36,29,33
77.jpg,68,39,28,36
78.jpg,65,37,29,36
79.jpg,64,38,28,38
80.jpg,66,36,27,35
81.jpg,69,33,30,34
82.jpg,67,35,29,37
83.jpg,64,36,29,36
84.jpg,66,39,30,37
85.jpg,68,39,30,37
86.jpg,68,37,30,35
87.jpg,66,37,30,37
88.jpg,63,33,33,34
89.jpg,68,31,29,33
90.jpg,64,38,32,36
91.jpg,68,36,27,38
92.jpg,67,35,28,35
93.jpg,63,34,32,36
94.jpg,64,37,30,38
95.jpg,65,37,31,37
96.jpg,65,36,30,36
97.jpg,67,31,30,34
98.jpg,71,35,28,34
99.jpg,67,34,30,34
100.jpg,64,33,31,35
101.jpg,64,37,28,38
102.jpg,60,33,27,40
103.jpg,64,38,31,40
104.jpg,69,38,30,39
105.jpg,65,38,31,38
106.jpg,66,36,30,37
107.jpg,68,34,29,36
108.jpg,67,34,29,35
109.jpg,64,34,28,34
110.jpg,65,38,30,37
111.jpg,66,36,30,34
112.jpg,66,36,26,38
113.jpg,66,34,29,35
114.jpg,64,35,31,34
115.jpg,65,37,29,36
116.jpg,66,37,31,37
117.jpg,64,37,30,39
118.jpg,66,38,28,37
119.jpg,65,38,28,35
120.jpg,68,38,30,36
121.jpg,66,38,29,36
122.jpg,67,40,29,37
123.jpg,69,35,29,35
124.jpg,67,37,31,39
125.jpg,70,37,27,39
126.jpg,66,37,30,35
127.jpg,64,34,24,35
128.jpg,67,40,29,37
129.jpg,67,36,28,38
130.jpg,67,37,31,36
131.jpg,62,37,29,35
132.jpg,65,37,30,37
133.jpg,67,35,30,36
134.jpg,65,37,30,36
135.jpg,65,38,30,38
136.jpg,65,35,32,37
137.jpg,63,38,28,40
138.jpg,68,38,30,36
139.jpg,67,39,29,37
140.jpg,68,35,25,37
141.jpg,65,36,32,37
142.jpg,64,35,31,33
143.jpg,64,33,28,34
144.jpg,65,32,30,33
145.jpg,71,32,28,30
146.jpg,63,35,30,34
147.jpg,66,32,27,33
148.jpg,65,39,32,37
149.jpg,68,34,30,35
150.jpg,65,36,29,36
151.jpg,66,38,28,38
152.jpg,68,36,29,37
153.jpg,68,37,31,37
154.jpg,65,38,28,37
155.jpg,61,34,32,35
156.jpg,66,34,27,36
157.jpg,62,34,33,33
158.jpg,65,34,29,36
159.jpg,68,39,29,37
160.jpg,66,36,32,37
161.jpg,64,34,25,34
162.jpg,65,35,28,35
163.jpg,65,36,29,36
164.jpg,67,38,30,37
165.jpg,66,38,28,41
166.jpg,66,36,30,36
167.jpg,64,36,30,35
168.jpg,65,39,31,37
169.jpg,65,36,30,32
170.jpg,63,36,31,37
171.jpg,67,37,30,34
172.jpg,68,33,29,34
173.jpg,66,39,30,39
174.jpg,68,36,27,37
175.jpg,68,37,28,36
176.jpg,67,36,28,35
177.jpg,65,38,32,37
178.jpg,65,35,29,37
179.jpg,67,36,31,37
180.jpg,64,36,31,37
181.jpg,66,36,29,36
182.jpg,63,37,26,40
183.jpg,65,38,27,40
184.jpg,66,38,31,37
185.jpg,66,39,28,37
186.jpg,68,33,26,33
187.jpg,67,36,28,34
188.jpg,64,35,29,38
189.jpg,65,39,31,37
190.jpg,67,34,27,38
191.jpg,68,37,29,36
192.jpg,64,38,30,38
193.jpg,66,35,31,35
194.jpg,63,37,32,39
195.jpg,64,34,26,34
196.jpg,64,39,30,36
197.jpg,67,36,29,39
198.jpg,65,36,28,35
199.jpg,65,35,31,37
200.jpg,65,35,31,39
201.jpg,66,38,29,37
202.jpg,65,37,27,40
203.jpg,69,33,27,36
204.jpg,66,37,30,39
205.jpg,64,38,31,36
206.jpg,68,36,29,36
207.jpg,66,37,28,36
208.jpg,66,38,28,38
209.jpg,62,35,30,37
210.jpg,65,39,28,37
211.jpg,65,38,29,38
212.jpg,64,34,29,34
213.jpg,65,37,30,37
214.jpg,66,38,26,40
215.jpg,63,35,31,36
216.jpg,64,38,29,39
217.jpg,63,35,30,37
218.jpg,65,39,30,38
219.jpg,64,37,29,37
220.jpg,65,39,28,41
221.jpg,64,35,30,35
222.jpg,65,36,31,37
223.jpg,62,36,31,37
224.jpg,64,38,30,38
225.jpg,68,38,32,37
226.jpg,65,34,31,32
227.jpg,65,37,32,36
228.jpg,67,38,27,40
229.jpg,65,35,26,36
230.jpg,68,41,27,36
231.jpg,64,37,29,37
232.jpg,66,39,29,36
233.jpg,65,38,30,36
234.jpg,67,36,30,33
235.jpg,67,35,30,35
236.jpg,64,35,32,34
237.jpg,64,35,29,36
238.jpg,65,35,30,35
239.jpg,71,37,26,37
240.jpg,66,35,26,35
241.jpg,69,39,30,40
242.jpg,64,35,30,38
243.jpg,63,38,24,40
244.jpg,63,36,31,36
245.jpg,66,34,30,35
246.jpg,63,35,31,34
247.jpg,63,35,31,36
248.jpg,66,39,26,39
249.jpg,65,38,31,39
250.jpg,67,38,27,37
251.jpg,66,36,29,40
252.jpg,66,40,31,37
253.jpg,66,38,33,35
254.jpg,66,37,31,37
255.jpg,67,39,26,39
256.jpg,65,40,29,38
257.jpg,66,36,28,35
258.jpg,66,36,30,34
259.jpg,65,38,31,37
260.jpg,66,38,28,36
261.jpg,67,35,30,33
262.jpg,68,38,30,36
263.jpg,68,39,28,37
264.jpg,67,31,28,32
265.jpg,66,38,30,37
266.jpg,64,36,30,39
267.jpg,67,36,26,36
268.jpg,64,37,30,34
269.jpg,68,34,34,35
270.jpg,64,40,29,38
271.jpg,66,35,29,38
272.jpg,63,35,29,35
273.jpg,65,37,29,37
274.jpg,64,37,30,35
275.jpg,65,37,29,36
276.jpg,65,37,31,36
277.jpg,64,35,29,38
278.jpg,66,36,29,37
279.jpg,64,35,30,35
280.jpg,67,37,29,36
281.jpg,66,38,28,39
282.jpg,65,35,28,35
283.jpg,66,39,31,39
284.jpg,64,33,31,37
285.jpg,64,34,30,34
286.jpg,66,38,30,36
287.jpg,68,38,29,39
288.jpg,64,38,29,40
289.jpg,63,37,28,37
290.jpg,69,40,28,38
291.jpg,65,39,28,37
292.jpg,64,37,31,36
293.jpg,67,37,27,40
294.jpg,69,37,27,36
295.jpg,66,38,29,38
296.jpg,64,38,28,36
297.jpg,66,38,30,38
298.jpg,64,37,32,38
299.jpg,66,34,26,33
300.jpg,66,39,31,39
301.jpg,65,36,31,37
302.jpg,64,38,31,40
303.jpg,67,37,28,37
304.jpg,64,36,32,37
305.jpg,65,39,29,36
306.jpg,65,37,29,40
307.jpg,64,39,29,38
308.jpg,67,38,32,36
309.jpg,63,34,28,35
310.jpg,66,32,28,34
311.jpg,66,36,27,37
312.jpg,66,35,29,33
313.jpg,66,36,26,36
314.jpg,66,39,30,37
315.jpg,68,40,27,41
316.jpg,66,40,30,37
317.jpg,66,36,30,35
318.jpg,66,32,28,34
319.jpg,66,37,28,37
320.jpg,68,37,27,36
321.jpg,66,36,28,35
322.jpg,66,35,29,35
323.jpg,65,36,31,36
324.jpg,66,39,33,39
325.jpg,68,35,30,37
326.jpg,64,38,27,40
327.jpg,66,36,30,36
328.jpg,67,35,29,34
329.jpg,63,34,27,35
330.jpg,64,36,30,39
331.jpg,67,38,27,36
332.jpg,66,38,28,37
333.jpg,64,39,25,39
334.jpg,66,36,28,35
335.jpg,65,37,30,35
336.jpg,65,38,32,38
337.jpg,66,41,29,38
338.jpg,67,38,27,37
339.jpg,66,37,30,38
340.jpg,66,38,31,37
341.jpg,64,35,31,36
342.jpg,65,34,28,34
343.jpg,67,38,30,37
344.jpg,69,41,27,41
345.jpg,67,37,32,39
346.jpg,65,36,25,36
347.jpg,67,37,30,36
348.jpg,63,34,31,35
349.jpg,63,38,26,41
350.jpg,67,37,26,36
351.jpg,64,40,28,37
352.jpg,65,39,32,36
353.jpg,66,38,28,39
354.jpg,64,37,27,39
355.jpg,66,37,31,35
356.jpg,64,36,31,37
357.jpg,64,35,27,33
358.jpg,66,38,27,38
359.jpg,76,33,30,35
360.jpg,66,34,31,38
361.jpg,67,38,28,36
362.jpg,66,35,31,36
363.jpg,65,37,29,38
364.jpg,64,37,28,38
365.jpg,66,37,27,37
366.jpg,66,38,29,35
367.jpg,64,37,26,40
368.jpg,63,35,29,38
369.jpg,64,35,31,35
370.jpg,66,39,31,38
371.jpg,67,37,28,35
372.jpg,64,36,28,39
373.jpg,64,36,30,39
374.jpg,63,37,30,37
375.jpg,66,37,30,37
376.jpg,67,36,31,36
377.jpg,66,41,31,37
378.jpg,65,37,29,36
379.jpg,64,34,30,36
380.jpg,66,39,29,37
381.jpg,66,39,31,39
382.jpg,70,41,30,36
383.jpg,65,38,31,37
384.jpg,65,34,29,35
385.jpg,64,36,30,37
386.jpg,65,39,29,35
387.jpg,66,35,32,35
388.jpg,66,38,29,36
389.jpg,67,36,31,36
390.jpg,70,36,27,36
391.jpg,67,37,29,36
392.jpg,67,33,26,34
393.jpg,66,40,28,38
394.jpg,67,35,29,35
395.jpg,67,37,28,36
396.jpg,62,36,30,38
397.jpg,63,35,31,36
398.jpg,64,34,29,38
399.jpg,67,38,29,38
